month,total_revenue
2003-01,116692.77
2003-02,128403.64
2003-03,160517.14
2003-04,185848.59
2003-05,179435.55
2003-06,150470.77
2003-07,201940.36
2003-08,178257.11
2003-09,236697.85
2003-10,514336.21
2003-11,988025.15
2003-12,276723.25
2004-01,292385.21
2004-02,289502.84
2004-03,217691.26
2004-04,187575.77
2004-05,248325.30
2004-06,343370.74
2004-07,325563.49
2004-08,419327.09
2004-09,283799.80
2004-10,500233.86
2004-11,979291.98
2004-12,428838.17
2005-01,307737.02
2005-02,317192.17
2005-03,359711.96
2005-04,344820.62
2005-05,441474.94
