TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE
customers,customerNumber,int,NO
customers,customerName,varchar,NO
customers,contactLastName,varchar,NO
customers,contactFirstName,varchar,NO
customers,phone,varchar,NO
customers,addressLine1,varchar,NO
customers,addressLine2,varchar,YES
customers,city,varchar,NO
customers,state,varchar,YES
customers,postalCode,varchar,YES
customers,country,varchar,NO
customers,salesRepEmployeeNumber,int,YES
customers,creditLimit,decimal,YES
employees,employeeNumber,int,NO
employees,lastName,varchar,NO
employees,firstName,varchar,NO
employees,extension,varchar,NO
employees,email,varchar,NO
employees,officeCode,varchar,NO
employees,reportsTo,int,YES
employees,jobTitle,varchar,NO
offices,officeCode,varchar,NO
offices,city,varchar,NO
offices,phone,varchar,NO
offices,addressLine1,varchar,NO
offices,addressLine2,varchar,YES
offices,state,varchar,YES
offices,country,varchar,NO
offices,postalCode,varchar,NO
offices,territory,varchar,NO
orderdetails,orderNumber,int,NO
orderdetails,productCode,varchar,NO
orderdetails,quantityOrdered,int,NO
orderdetails,priceEach,decimal,NO
orderdetails,orderLineNumber,smallint,NO
orders,orderNumber,int,NO
orders,orderDate,date,NO
orders,requiredDate,date,NO
orders,shippedDate,date,YES
orders,status,varchar,NO
orders,comments,text,YES
orders,customerNumber,int,NO
payments,customerNumber,int,NO
payments,checkNumber,varchar,NO
payments,paymentDate,date,NO
payments,amount,decimal,NO
productlines,productLine,varchar,NO
productlines,textDescription,varchar,YES
productlines,htmlDescription,mediumtext,YES
productlines,image,mediumblob,YES
products,productCode,varchar,NO
products,productName,varchar,NO
products,productLine,varchar,NO
products,productScale,varchar,NO
products,productVendor,varchar,NO
products,productDescription,text,NO
products,quantityInStock,smallint,NO
products,buyPrice,decimal,NO
products,MSRP,decimal,NO
