TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE
customers,customerNumber,int,NO,,10.0,0.0
customers,customerName,varchar,NO,50.0,,
customers,contactLastName,varchar,NO,50.0,,
customers,contactFirstName,varchar,NO,50.0,,
customers,phone,varchar,NO,50.0,,
customers,addressLine1,varchar,NO,50.0,,
customers,addressLine2,varchar,YES,50.0,,
customers,city,varchar,NO,50.0,,
customers,state,varchar,YES,50.0,,
customers,postalCode,varchar,YES,15.0,,
customers,country,varchar,NO,50.0,,
customers,salesRepEmployeeNumber,int,YES,,10.0,0.0
customers,creditLimit,decimal,YES,,10.0,2.0
employees,employeeNumber,int,NO,,10.0,0.0
employees,lastName,varchar,NO,50.0,,
employees,firstName,varchar,NO,50.0,,
employees,extension,varchar,NO,10.0,,
employees,email,varchar,NO,100.0,,
employees,officeCode,varchar,NO,10.0,,
employees,reportsTo,int,YES,,10.0,0.0
employees,jobTitle,varchar,NO,50.0,,
offices,officeCode,varchar,NO,10.0,,
offices,city,varchar,NO,50.0,,
offices,phone,varchar,NO,50.0,,
offices,addressLine1,varchar,NO,50.0,,
offices,addressLine2,varchar,YES,50.0,,
offices,state,varchar,YES,50.0,,
offices,country,varchar,NO,50.0,,
offices,postalCode,varchar,NO,15.0,,
offices,territory,varchar,NO,10.0,,
orderdetails,orderNumber,int,NO,,10.0,0.0
orderdetails,productCode,varchar,NO,15.0,,
orderdetails,quantityOrdered,int,NO,,10.0,0.0
orderdetails,priceEach,decimal,NO,,10.0,2.0
orderdetails,orderLineNumber,smallint,NO,,5.0,0.0
orders,orderNumber,int,NO,,10.0,0.0
orders,orderDate,date,NO,,,
orders,requiredDate,date,NO,,,
orders,shippedDate,date,YES,,,
orders,status,varchar,NO,15.0,,
orders,comments,text,YES,65535.0,,
orders,customerNumber,int,NO,,10.0,0.0
payments,customerNumber,int,NO,,10.0,0.0
payments,checkNumber,varchar,NO,50.0,,
payments,paymentDate,date,NO,,,
payments,amount,decimal,NO,,10.0,2.0
productlines,productLine,varchar,NO,50.0,,
productlines,textDescription,varchar,YES,4000.0,,
productlines,htmlDescription,mediumtext,YES,16777215.0,,
productlines,image,mediumblob,YES,16777215.0,,
products,productCode,varchar,NO,15.0,,
products,productName,varchar,NO,70.0,,
products,productLine,varchar,NO,50.0,,
products,productScale,varchar,NO,10.0,,
products,productVendor,varchar,NO,50.0,,
products,productDescription,text,NO,65535.0,,
products,quantityInStock,smallint,NO,,5.0,0.0
products,buyPrice,decimal,NO,,10.0,2.0
products,MSRP,decimal,NO,,10.0,2.0
