TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE
customers,customerNumber,int,,10.0,0.0,NO
customers,customerName,varchar,50.0,,,NO
customers,contactLastName,varchar,50.0,,,NO
customers,contactFirstName,varchar,50.0,,,NO
customers,phone,varchar,50.0,,,NO
customers,addressLine1,varchar,50.0,,,NO
customers,addressLine2,varchar,50.0,,,YES
customers,city,varchar,50.0,,,NO
customers,state,varchar,50.0,,,YES
customers,postalCode,varchar,15.0,,,YES
customers,country,varchar,50.0,,,NO
customers,salesRepEmployeeNumber,int,,10.0,0.0,YES
customers,creditLimit,decimal,,10.0,2.0,YES
employees,employeeNumber,int,,10.0,0.0,NO
employees,lastName,varchar,50.0,,,NO
employees,firstName,varchar,50.0,,,NO
employees,extension,varchar,10.0,,,NO
employees,email,varchar,100.0,,,NO
employees,officeCode,varchar,10.0,,,NO
employees,reportsTo,int,,10.0,0.0,YES
employees,jobTitle,varchar,50.0,,,NO
offices,officeCode,varchar,10.0,,,NO
offices,city,varchar,50.0,,,NO
offices,phone,varchar,50.0,,,NO
offices,addressLine1,varchar,50.0,,,NO
offices,addressLine2,varchar,50.0,,,YES
offices,state,varchar,50.0,,,YES
offices,country,varchar,50.0,,,NO
offices,postalCode,varchar,15.0,,,NO
offices,territory,varchar,10.0,,,NO
orderdetails,orderNumber,int,,10.0,0.0,NO
orderdetails,productCode,varchar,15.0,,,NO
orderdetails,quantityOrdered,int,,10.0,0.0,NO
orderdetails,priceEach,decimal,,10.0,2.0,NO
orderdetails,orderLineNumber,smallint,,5.0,0.0,NO
orders,orderNumber,int,,10.0,0.0,NO
orders,orderDate,date,,,,NO
orders,requiredDate,date,,,,NO
orders,shippedDate,date,,,,YES
orders,status,varchar,15.0,,,NO
orders,comments,text,65535.0,,,YES
orders,customerNumber,int,,10.0,0.0,NO
payments,customerNumber,int,,10.0,0.0,NO
payments,checkNumber,varchar,50.0,,,NO
payments,paymentDate,date,,,,NO
payments,amount,decimal,,10.0,2.0,NO
productlines,productLine,varchar,50.0,,,NO
productlines,textDescription,varchar,4000.0,,,YES
productlines,htmlDescription,mediumtext,16777215.0,,,YES
productlines,image,mediumblob,16777215.0,,,YES
products,productCode,varchar,15.0,,,NO
products,productName,varchar,70.0,,,NO
products,productLine,varchar,50.0,,,NO
products,productScale,varchar,10.0,,,NO
products,productVendor,varchar,50.0,,,NO
products,productDescription,text,65535.0,,,NO
products,quantityInStock,smallint,,5.0,0.0,NO
products,buyPrice,decimal,,10.0,2.0,NO
products,MSRP,decimal,,10.0,2.0,NO
