customerNumber,customerName,payments_count,total_amount
141,Euro+ Shopping Channel,13,715738.98
124,Mini Gifts Distributors Ltd.,9,584188.24
114,"Australian Collectors, Co.",4,180585.07
151,Muscle Machine Inc,4,177913.95
148,"Dragon Souveniers, Ltd.",4,156251.03
323,"Down Under Souveniers, Inc",4,154622.08
187,"AV Stores, Co.",3,148410.09
276,"Anna's Decorations, Ltd",4,137034.22
321,Corporate Gift Ideas Co.,2,132340.78
146,"Saveley & Henriot, Co.",3,130305.35
278,Rovelli Gifts,3,127529.69
353,Reims Collectables,4,126983.19
119,La Rochelle Gifts,3,116949.68
363,Online Diecast Creations Co.,3,116449.29
496,Kelly's Gift Shop,3,114497.19
